Daily Mean data	    supplied by UK-air on 14/06/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Birmingham A4540 Roadside",,"Birmingham Ladywood",,"Shrewsbury Underdale",
Latitude,52.476145,,52.481346,,52.715083,,
Longitude,-1.874978,,-1.918235,,-2.726833,,
Site Type,Urban Traffic,,Urban Background,,Urban Background,,
Zone,West Midlands,,West Midlands,,West Midlands,,
Agglomeration,West Midlands Urban Area,,West Midlands Urban Area,,#N/A,,
Local Authority,"Birmingham",,"Birmingham",,"Shropshire",,
Date,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status
2024-06-09,0.93,V ugm-3,0.31,V ugm-3,0.17,V ugm-3
2024-06-10,0.69,V ugm-3,0.25,V ugm-3,0.18,V ugm-3
2024-06-11,1.04,V ugm-3,0.36,V ugm-3,0.19,V ugm-3
2024-06-12,1.52,V ugm-3,0.48,V ugm-3,0.26,V ugm-3
2024-06-13,1.55,V ugm-3,0.3,V ugm-3,0.35,V ugm-3
2024-06-14,2.11,V ugm-3,0.25,V ugm-3,0.25,V ugm-3
2024-06-15,1.36,V ugm-3,0.27,V ugm-3,0.25,V ugm-3
2024-06-16,1.05,V ugm-3,0.2,V ugm-3,0.18,V ugm-3
2024-06-17,1.49,V ugm-3,0.36,V ugm-3,0.27,V ugm-3
2024-06-18,1.17,V ugm-3,0.45,V ugm-3,0.31,V ugm-3
2024-06-19,1.28,V ugm-3,0.49,V ugm-3,0.34,V ugm-3
2024-06-20,2.3,V ugm-3,0.62,V ugm-3,0.53,V ugm-3
2024-06-21,1.58,V ugm-3,0.43,V ugm-3,0.28,V ugm-3
2024-06-22,1.13,V ugm-3,0.27,V ugm-3,0.15,V ugm-3
2024-06-23,1.21,V ugm-3,0.3,V ugm-3,0.19,V ugm-3
2024-06-24,1.66,V ugm-3,0.69,V ugm-3,0.39,V ugm-3
2024-06-25,1.56,V ugm-3,0.93,V ugm-3,0.47,V ugm-3
2024-06-26,1.85,V ugm-3,0.74,V ugm-3,0.7,V ugm-3
2024-06-27,0.96,V ugm-3,0.24,V ugm-3,0.16,V ugm-3
2024-06-28,1.09,V ugm-3,0.31,V ugm-3,0.17,V ugm-3
2024-06-29,1.45,V ugm-3,0.46,V ugm-3,0.35,V ugm-3
2024-06-30,0.95,V ugm-3,0.27,V ugm-3,0.23,V ugm-3
2024-07-01,1.35,V ugm-3,0.38,V ugm-3,0.25,V ugm-3
2024-07-02,1.11,V ugm-3,No data,V ugm-3,0.22,V ugm-3
2024-07-03,1.51,V ugm-3,No data,V ugm-3,0.19,V ugm-3
2024-07-04,0.79,V ugm-3,0.19,V ugm-3,0.22,V ugm-3
2024-07-05,1.87,V ugm-3,0.43,V ugm-3,0.22,V ugm-3
2024-07-06,1.17,V ugm-3,0.4,V ugm-3,0.4,V ugm-3
2024-07-07,1.19,V ugm-3,0.27,V ugm-3,0.2,V ugm-3
2024-07-08,1.53,V ugm-3,0.37,V ugm-3,0.2,V ugm-3
2024-07-09,1.64,V ugm-3,0.41,V ugm-3,0.22,V ugm-3
2024-07-10,1.14,V ugm-3,0.22,V ugm-3,0.15,V ugm-3
2024-07-11,1.66,V ugm-3,0.62,V ugm-3,0.26,V ugm-3
2024-07-12,No data,V ugm-3,0.55,V ugm-3,0.48,V ugm-3
2024-07-13,No data,V ugm-3,0.6,V ugm-3,0.45,V ugm-3
2024-07-14,No data,V ugm-3,0.56,V ugm-3,0.4,V ugm-3
2024-07-15,No data,V ugm-3,1.34,V ugm-3,0.8,V ugm-3
2024-07-16,1.6,V ugm-3,No data,V ugm-3,0.42,V ugm-3
2024-07-17,2.34,V ugm-3,No data,V ugm-3,0.37,V ugm-3
2024-07-18,No data,V ugm-3,0.68,V ugm-3,0.5,V ugm-3
2024-07-19,No data,V ugm-3,0.7,V ugm-3,0.51,V ugm-3
2024-07-20,2.05,V ugm-3,0.4,V ugm-3,0.2,V ugm-3
2024-07-21,1.13,V ugm-3,0.29,V ugm-3,0.11,V ugm-3
2024-07-22,1.19,V ugm-3,0.28,V ugm-3,0.18,V ugm-3
2024-07-23,1.13,V ugm-3,No data,V ugm-3,0.28,V ugm-3
2024-07-24,1.71,V ugm-3,No data,V ugm-3,0.31,V ugm-3
2024-07-25,1.38,V ugm-3,0.3,V ugm-3,0.22,V ugm-3
2024-07-26,1.26,V ugm-3,0.39,V ugm-3,0.17,V ugm-3
2024-07-27,2.04,V ugm-3,1.13,V ugm-3,0.25,V ugm-3
2024-07-28,2.6,V ugm-3,1,V ugm-3,0.38,V ugm-3
2024-07-29,2.4,V ugm-3,1.13,V ugm-3,0.53,V ugm-3
2024-07-30,1.35,V ugm-3,1.18,V ugm-3,0.48,V ugm-3
2024-07-31,1.21,V ugm-3,1.03,V ugm-3,0.78,V ugm-3
2024-08-01,1.63,V ugm-3,1.1,V ugm-3,0.65,V ugm-3
2024-08-02,1.74,V ugm-3,0.81,V ugm-3,0.4,V ugm-3
2024-08-03,1.05,V ugm-3,0.38,V ugm-3,0.15,V ugm-3
2024-08-04,No data,V ugm-3,0.31,V ugm-3,0.16,V ugm-3
2024-08-05,No data,V ugm-3,0.34,V ugm-3,0.2,V ugm-3
2024-08-06,1.39,V ugm-3,0.33,V ugm-3,0.21,V ugm-3
2024-08-07,1.26,V ugm-3,0.27,V ugm-3,0.18,V ugm-3
2024-08-08,1.68,V ugm-3,0.28,V ugm-3,0.17,V ugm-3
2024-08-09,0.97,V ugm-3,0.24,V ugm-3,0.15,V ugm-3
2024-08-10,1.36,V ugm-3,0.64,V ugm-3,0.37,V ugm-3
2024-08-11,2.27,V ugm-3,1.17,V ugm-3,0.66,V ugm-3
2024-08-12,1.72,V ugm-3,0.67,V ugm-3,0.6,V ugm-3
2024-08-13,1.66,V ugm-3,0.37,V ugm-3,0.31,V ugm-3
2024-08-14,1.68,V ugm-3,No data,V ugm-3,0.26,V ugm-3
2024-08-15,1.45,V ugm-3,No data,V ugm-3,0.31,V ugm-3
2024-08-16,1.71,V ugm-3,0.59,V ugm-3,0.43,V ugm-3
2024-08-17,1.31,V ugm-3,0.41,V ugm-3,0.63,V ugm-3
2024-08-18,1.24,V ugm-3,0.51,V ugm-3,0.35,V ugm-3
2024-08-19,2.25,V ugm-3,0.81,V ugm-3,0.58,V ugm-3
2024-08-20,0.98,V ugm-3,0.25,V ugm-3,0.2,V ugm-3
2024-08-21,0.95,V ugm-3,0.24,V ugm-3,0.23,V ugm-3
2024-08-22,1.01,V ugm-3,0.24,V ugm-3,0.2,V ugm-3
2024-08-23,0.96,V ugm-3,0.26,V ugm-3,0.14,V ugm-3
2024-08-24,1.4,V ugm-3,0.33,V ugm-3,0.24,V ugm-3
2024-08-25,1.07,V ugm-3,0.19,V ugm-3,0.26,V ugm-3
2024-08-26,1.53,V ugm-3,0.54,V ugm-3,0.49,V ugm-3
2024-08-27,2.25,V ugm-3,0.57,V ugm-3,0.4,V ugm-3
2024-08-28,2.04,V ugm-3,0.99,V ugm-3,0.54,V ugm-3
2024-08-29,1.57,V ugm-3,No data,V ugm-3,0.26,V ugm-3
2024-08-30,1.78,V ugm-3,No data,V ugm-3,0.54,V ugm-3
2024-08-31,0.95,V ugm-3,0.49,V ugm-3,0.4,V ugm-3
2024-09-01,0.78,V ugm-3,0.6,V ugm-3,0.53,V ugm-3
2024-09-02,2.29,V ugm-3,1.29,V ugm-3,0.76,V ugm-3
2024-09-03,No data,V ugm-3,0.6,V ugm-3,0.4,V ugm-3
