date,Ozone
09-06-2024,59.444
10-06-2024,60.9
11-06-2024,60.5
12-06-2024,64.5
13-06-2024,59.3
14-06-2024,54.8
15-06-2024,57.7
16-06-2024,66
17-06-2024,62.4
18-06-2024,57.9
19-06-2024,60.2
20-06-2024,58.8
21-06-2024,69.8
22-06-2024,61.6
23-06-2024,57.2
24-06-2024,48.3
25-06-2024,65.2
26-06-2024,90.222
27-06-2024,63.222
28-06-2024,58.125
29-06-2024,52
30-06-2024,50.444
01-07-2024,42.111
02-07-2024,53.6
03-07-2024,50.7
04-07-2024,57.778
05-07-2024,53.4
06-07-2024,49.4
07-07-2024,45.9
08-07-2024,42.6
09-07-2024,38.556
10-07-2024,49.778
11-07-2024,42.2
12-07-2024,41.3
13-07-2024,41.8
14-07-2024,41.6
15-07-2024,41.8
16-07-2024,53.4
17-07-2024,50.9
18-07-2024,57.7
19-07-2024,65.667
20-07-2024,30.4
21-07-2024,50
22-07-2024,45.1
23-07-2024,48.3
24-07-2024,36.1
25-07-2024,39.8
26-07-2024,43
27-07-2024,40.1
28-07-2024,43.5
29-07-2024,62.222
30-07-2024,64.222
31-07-2024,86.333
01-08-2024,77.889
02-08-2024,52.8
03-08-2024,51.8
04-08-2024,49
05-08-2024,48.556
06-08-2024,52.222
07-08-2024,55.889
08-08-2024,47.875
09-08-2024,53.875
10-08-2024,45.125
11-08-2024,53.125
12-08-2024,61.375
13-08-2024,50
14-08-2024,42.5
15-08-2024,40.875
16-08-2024,45.7
17-08-2024,48.2
18-08-2024,55.9
19-08-2024,45.3
20-08-2024,56.4
21-08-2024,53.7
22-08-2024,63.3
23-08-2024,63.5
24-08-2024,53.3
25-08-2024,58.3
26-08-2024,68
27-08-2024,56
28-08-2024,57.4
29-08-2024,48
30-08-2024,46.7
31-08-2024,59.5
01-09-2024,60.3
02-09-2024,43.6
03-09-2024,43.8
04-09-2024,45.667
05-09-2024,59.333
06-09-2024,87.556
07-09-2024,59.222
08-09-2024,50.667
09-09-2024,57.111
10-09-2024,49.778
11-09-2024,48.667
12-09-2024,41.2
13-09-2024,33.2
14-09-2024,55.7
15-09-2024,52.6
16-09-2024,33.5
17-09-2024,38.5
18-09-2024,59.9
19-09-2024,65.636
20-09-2024,76.636
