date,PM10
2024-06-09,8.2
2024-06-10,6.1
2024-06-11,8.7
2024-06-12,10.3
2024-06-13,10.4
2024-06-14,7.111
2024-06-15,6.667
2024-06-16,5.667
2024-06-17,8.444
2024-06-18,10.0
2024-06-19,8.7
2024-06-20,11.6
2024-06-21,13.5
2024-06-22,8.0
2024-06-23,6.2
2024-06-24,11.0
2024-06-25,14.2
2024-06-26,19.1
2024-06-27,12.9
2024-06-28,9.1
2024-06-29,9.4
2024-06-30,10.5
2024-07-01,8.5
2024-07-02,14.8
2024-07-03,7.1
2024-07-04,11.7
2024-07-05,8.2
2024-07-06,7.4
2024-07-07,5.5
2024-07-08,7.7
2024-07-09,6.1
2024-07-10,5.125
2024-07-11,6.222
2024-07-12,9.8
2024-07-13,8.8
2024-07-14,7.3
2024-07-15,10.9
2024-07-16,9.5
2024-07-17,11.0
2024-07-18,12.2
2024-07-19,15.2
2024-07-20,6.3
2024-07-21,6.5
2024-07-22,7.0
2024-07-23,7.5
2024-07-24,10.0
2024-07-25,6.2
2024-07-26,9.6
2024-07-27,9.0
2024-07-28,10.4
2024-07-29,13.8
2024-07-30,15.1
2024-07-31,17.8
2024-08-01,17.6
2024-08-02,14.2
2024-08-03,11.9
2024-08-04,10.5
2024-08-05,11.4
2024-08-06,8.6
2024-08-07,11.222
2024-08-08,7.778
2024-08-09,7.111
2024-08-10,9.444
2024-08-11,11.222
2024-08-12,13.333
2024-08-13,11.3
2024-08-14,11.0
2024-08-15,9.4
2024-08-16,9.8
2024-08-17,8.7
2024-08-18,15.0
2024-08-19,22.889
2024-08-20,7.111
2024-08-21,11.0
2024-08-22,10.111
2024-08-23,8.2
2024-08-24,6.7
2024-08-25,9.5
2024-08-26,21.4
2024-08-27,13.6
2024-08-28,14.7
2024-08-29,15.0
2024-08-30,15.9
2024-08-31,20.4
2024-09-01,22.1
2024-09-02,17.7
2024-09-03,11.2
2024-09-04,11.4
2024-09-05,16.1
2024-09-06,50.4
2024-09-07,31.3
2024-09-08,10.5
2024-09-09,14.5
2024-09-10,10.8
2024-09-11,7.0
2024-09-12,6.0
2024-09-13,10.727
2024-09-14,9.545
2024-09-15,8.636
2024-09-16,9.818
2024-09-17,9.727
2024-09-18,14.455
2024-09-19,27.364
2024-09-20,34.636
2024-09-21,29.0
2024-09-22,19.273
2024-09-23,17.545
2024-09-24,10.0
2024-09-25,8.273
2024-09-26,7.091
2024-09-27,7.182
2024-09-28,8.364
2024-09-29,8.273
2024-09-30,3.364
2024-10-01,7.364
2024-10-02,9.727
2024-10-03,11.545
2024-10-04,14.091
2024-10-05,13.818
2024-10-06,9.455
2024-10-07,11.636
2024-10-08,8.6
2024-10-09,6.9
2024-10-10,10.4
2024-10-11,11.8
2024-10-12,8.2
2024-10-13,12.0
2024-10-14,10.2
2024-10-15,16.3
2024-10-16,19.0
2024-10-17,11.4
2024-10-18,8.8
2024-10-19,10.5
2024-10-20,14.9
2024-10-21,23.5
2024-10-22,12.8
2024-10-23,11.818
2024-10-24,12.727
2024-10-25,16.727
2024-10-26,14.182
2024-10-27,9.364
2024-10-28,5.909
2024-10-29,9.182
2024-10-30,12.727
2024-10-31,18.545
2024-11-01,15.917
2024-11-02,14.583
2024-11-03,15.167
2024-11-04,27.167
2024-11-05,29.917
2024-11-06,21.583
2024-11-07,19.583
2024-11-08,30.583
2024-11-09,33.167
2024-11-10,23.5
2024-11-11,19.0
2024-11-12,17.833
2024-11-13,20.333
2024-11-14,15.75
2024-11-15,19.083
2024-11-16,11.25
2024-11-17,7.333
2024-11-18,11.083
2024-11-19,9.667
2024-11-20,8.167
2024-11-21,12.333
2024-11-22,8.917
2024-11-23,6.583
