date,PM2.5
2024-06-09,4.125
2024-06-10,3.0
2024-06-11,4.25
2024-06-12,4.875
2024-06-13,4.625
2024-06-14,2.714
2024-06-15,3.143
2024-06-16,2.857
2024-06-17,4.143
2024-06-18,5.25
2024-06-19,4.25
2024-06-20,4.625
2024-06-21,6.375
2024-06-22,4.125
2024-06-23,3.375
2024-06-24,5.5
2024-06-25,7.25
2024-06-26,11.125
2024-06-27,5.625
2024-06-28,3.375
2024-06-29,4.5
2024-06-30,4.5
2024-07-01,3.875
2024-07-02,7.0
2024-07-03,3.125
2024-07-04,4.5
2024-07-05,3.375
2024-07-06,3.125
2024-07-07,2.25
2024-07-08,3.125
2024-07-09,2.5
2024-07-10,1.429
2024-07-11,2.714
2024-07-12,5.25
2024-07-13,5.125
2024-07-14,4.375
2024-07-15,6.5
2024-07-16,4.75
2024-07-17,5.75
2024-07-18,6.0
2024-07-19,7.0
2024-07-20,2.75
2024-07-21,3.0
2024-07-22,3.0
2024-07-23,3.625
2024-07-24,4.75
2024-07-25,2.625
2024-07-26,4.25
2024-07-27,4.25
2024-07-28,5.75
2024-07-29,6.125
2024-07-30,6.75
2024-07-31,8.375
2024-08-01,9.625
2024-08-02,8.0
2024-08-03,6.0
2024-08-04,5.25
2024-08-05,5.375
2024-08-06,3.75
2024-08-07,5.125
2024-08-08,4.0
2024-08-09,2.875
2024-08-10,5.375
2024-08-11,5.625
2024-08-12,6.125
2024-08-13,4.25
2024-08-14,5.25
2024-08-15,3.5
2024-08-16,4.375
2024-08-17,4.625
2024-08-18,9.5
2024-08-19,15.875
2024-08-20,3.0
2024-08-21,4.75
2024-08-22,4.25
2024-08-23,3.875
2024-08-24,3.375
2024-08-25,5.125
2024-08-26,14.5
2024-08-27,6.625
2024-08-28,8.125
2024-08-29,8.875
2024-08-30,9.5
2024-08-31,13.875
2024-09-01,13.625
2024-09-02,11.5
2024-09-03,6.125
2024-09-04,6.0
2024-09-05,9.875
2024-09-06,26.125
2024-09-07,22.375
2024-09-08,7.0
2024-09-09,6.375
2024-09-10,5.125
2024-09-11,2.625
2024-09-12,2.556
2024-09-13,5.0
2024-09-14,4.444
2024-09-15,4.333
2024-09-16,5.333
2024-09-17,4.667
2024-09-18,6.667
2024-09-19,16.444
2024-09-20,22.222
2024-09-21,19.667
2024-09-22,15.0
2024-09-23,14.111
2024-09-24,5.444
2024-09-25,4.444
2024-09-26,3.889
2024-09-27,3.111
2024-09-28,4.111
2024-09-29,4.333
2024-09-30,1.444
2024-10-01,3.889
2024-10-02,4.111
2024-10-03,4.778
2024-10-04,7.111
2024-10-05,8.778
2024-10-06,5.556
2024-10-07,5.556
2024-10-08,4.444
2024-10-09,4.111
2024-10-10,4.444
2024-10-11,6.111
2024-10-12,4.222
2024-10-13,5.333
2024-10-14,6.0
2024-10-15,11.889
2024-10-16,11.222
2024-10-17,5.222
2024-10-18,4.333
2024-10-19,5.444
2024-10-20,7.556
2024-10-21,10.444
2024-10-22,6.0
2024-10-23,6.2
2024-10-24,6.9
2024-10-25,11.6
2024-10-26,7.8
2024-10-27,4.6
2024-10-28,2.7
2024-10-29,5.5
2024-10-30,8.3
2024-10-31,12.8
2024-11-01,11.091
2024-11-02,11.0
2024-11-03,11.364
2024-11-04,20.636
2024-11-05,22.455
2024-11-06,14.545
2024-11-07,13.636
2024-11-08,23.727
2024-11-09,27.273
2024-11-10,18.0
2024-11-11,9.818
2024-11-12,9.25
2024-11-13,14.083
2024-11-14,9.75
2024-11-15,12.833
2024-11-16,6.75
2024-11-17,4.083
2024-11-18,7.0
2024-11-19,6.25
2024-11-20,4.333
2024-11-21,6.833
2024-11-22,4.167
2024-11-23,3.333
2024-11-24,3.667
2024-11-25,4.417
2024-11-26,7.083
2024-11-27,9.5
2024-11-28,13.615
2024-11-29,6.615
2024-11-30,7.154
2024-12-01,4.385
2024-12-02,3.231
2024-12-03,10.385
2024-12-04,8.231
2024-12-05,2.077
2024-12-06,6.385
2024-12-07,2.385
2024-12-08,2.462
2024-12-09,4.846
2024-12-10,5.231
2024-12-11,5.154
2024-12-12,6.923
2024-12-13,9.231
2024-12-14,5.077
2024-12-15,1.385
2024-12-16,2.846
2024-12-17,5.154
2024-12-18,3.0
2024-12-19,3.462
2024-12-20,4.538
2024-12-21,5.0
2024-12-22,6.769
2024-12-23,7.231
2024-12-24,4.538
2024-12-25,4.077
2024-12-26,3.846
2024-12-27,4.462
2024-12-28,5.308
2024-12-29,3.077
2024-12-30,1.692
2024-12-31,2.0
2025-01-01,2.615
2025-01-02,7.769
2025-01-03,5.769
2025-01-04,9.615
2025-01-05,4.0
2025-01-06,2.385
2025-01-07,3.769
2025-01-08,10.308
2025-01-09,11.0
2025-01-10,18.923
2025-01-11,27.385
2025-01-12,19.615
2025-01-13,7.308
2025-01-14,7.923
2025-01-15,10.231
2025-01-16,12.615
2025-01-17,14.308
2025-01-18,20.462
2025-01-19,18.769
2025-01-20,19.692
2025-01-21,16.923
2025-01-22,24.462
2025-01-23,7.385
2025-01-24,9.615
2025-01-25,5.846
2025-01-26,4.308
2025-01-27,4.923
2025-01-28,4.308
2025-01-29,5.385
2025-01-30,5.923
2025-01-31,8.385
2025-02-01,11.154
2025-02-02,8.0
2025-02-03,8.615
2025-02-04,4.308
2025-02-05,9.615
2025-02-06,12.308
2025-02-07,7.769
2025-02-08,21.769
2025-02-09,28.615
2025-02-10,16.385
2025-02-11,21.385
2025-02-12,24.385
2025-02-13,15.0
2025-02-14,17.0
2025-02-15,27.308
2025-02-16,21.308
2025-02-17,16.538
2025-02-18,22.538
2025-02-19,30.077
2025-02-20,4.385
2025-02-21,4.462
2025-02-22,7.385
2025-02-23,4.308
2025-02-24,4.231
2025-02-25,5.385
2025-02-26,4.0
2025-02-27,5.077
2025-02-28,12.462
2025-03-01,16.231
2025-03-02,15.385
2025-03-03,11.308
2025-03-04,12.692
2025-03-05,16.538
2025-03-06,23.0
2025-03-07,12.769
2025-03-08,17.385
2025-03-09,33.923
2025-03-10,45.154
2025-03-11,5.385
2025-03-12,4.308
2025-03-13,5.0
2025-03-14,7.154
2025-03-15,5.923
2025-03-16,6.0
2025-03-17,6.692
2025-03-18,10.231
2025-03-19,25.538
2025-03-20,21.231
2025-03-21,20.692
2025-03-22,11.692
2025-03-23,23.385
2025-03-24,30.154
2025-03-25,11.714
2025-03-26,9.692
2025-03-27,4.538
2025-03-28,3.462
2025-03-29,4.231
2025-03-30,8.286
2025-03-31,8.714
2025-04-01,6.429
2025-04-02,8.571
2025-04-03,19.071
2025-04-04,17.5
2025-04-05,7.786
2025-04-06,5.571
2025-04-07,6.0
2025-04-08,9.929
2025-04-09,12.5
2025-04-10,17.786
2025-04-11,16.643
2025-04-12,14.786
2025-04-13,6.071
2025-04-14,4.071
2025-04-15,8.071
2025-04-16,3.0
2025-04-17,4.143
2025-04-18,6.714
2025-04-19,11.357
2025-04-20,6.357
2025-04-21,6.857
2025-04-22,4.571
2025-04-23,6.071
2025-04-24,11.143
2025-04-25,10.538
2025-04-26,18.077
2025-04-27,8.231
2025-04-28,5.0
2025-04-29,12.615
2025-04-30,13.0
2025-05-01,13.846
2025-05-02,8.923
2025-05-03,6.308
2025-05-04,3.385
2025-05-05,4.231
2025-05-06,6.231
2025-05-07,9.154
2025-05-08,5.0
2025-05-09,6.462
2025-05-10,6.214
2025-05-11,6.643
2025-05-12,8.857
2025-05-13,7.071
2025-05-14,10.429
2025-05-15,10.333
2025-05-16,9.467
2025-05-17,9.733
2025-05-18,11.533
2025-05-19,9.467
2025-05-20,8.4
2025-05-21,10.933
2025-05-22,8.6
2025-05-23,5.933
2025-05-24,5.067
2025-05-25,3.667
2025-05-26,3.733
2025-05-27,3.867
2025-05-28,3.467
2025-05-29,3.133
2025-05-30,2.467
2025-05-31,3.4
2025-06-01,4.867
2025-06-02,4.6
2025-06-03,4.067
2025-06-04,5.267
2025-06-05,2.267
2025-06-06,2.933
2025-06-07,2.533
2025-06-08,6.667
