date,green_particulate_matter_520nm
2024-06-09,0.447
2024-06-10,0.353
2024-06-11,0.507
2024-06-12,0.717
2024-06-13,0.703
2024-06-14,0.83
2024-06-15,0.593
2024-06-16,0.453
2024-06-17,0.68
2024-06-18,0.6
2024-06-19,0.66
2024-06-20,1.093
2024-06-21,0.72
2024-06-22,0.493
2024-06-23,0.54
2024-06-24,0.873
2024-06-25,0.943
2024-06-26,1.053
2024-06-27,0.433
2024-06-28,0.497
2024-06-29,0.713
2024-06-30,0.453
2024-07-01,0.633
2024-07-02,0.64
2024-07-03,0.81
2024-07-04,0.383
2024-07-05,0.8
2024-07-06,0.637
2024-07-07,0.527
2024-07-08,0.67
2024-07-09,0.723
2024-07-10,0.48
2024-07-11,0.807
2024-07-12,0.495
2024-07-13,0.51
2024-07-14,0.45
2024-07-15,1.015
2024-07-16,0.965
2024-07-17,1.3
2024-07-18,0.565
2024-07-19,0.575
2024-07-20,0.833
2024-07-21,0.487
2024-07-22,0.527
2024-07-23,0.685
2024-07-24,0.965
2024-07-25,0.607
2024-07-26,0.58
2024-07-27,1.077
2024-07-28,1.26
2024-07-29,1.273
2024-07-30,0.953
2024-07-31,0.97
2024-08-01,1.073
2024-08-02,0.937
2024-08-03,0.5
2024-08-04,0.225
2024-08-05,0.265
2024-08-06,0.617
2024-08-07,0.55
2024-08-08,0.683
2024-08-09,0.433
2024-08-10,0.75
2024-08-11,1.283
2024-08-12,0.943
2024-08-13,0.747
2024-08-14,0.93
2024-08-15,0.84
2024-08-16,0.867
2024-08-17,0.75
2024-08-18,0.673
2024-08-19,1.17
2024-08-20,0.457
2024-08-21,0.46
2024-08-22,0.453
2024-08-23,0.433
2024-08-24,0.627
2024-08-25,0.487
2024-08-26,0.82
2024-08-27,1.017
2024-08-28,1.133
2024-08-29,0.885
2024-08-30,1.11
2024-08-31,0.59
2024-09-01,0.613
2024-09-02,1.38
2024-09-03,0.47
2024-09-04,0.5
2024-09-05,0.74
2024-09-06,1.4
2024-09-07,1.487
2024-09-08,0.847
2024-09-09,0.503
2024-09-10,0.667
2024-09-11,0.603
2024-09-12,0.823
2024-09-13,1.443
2024-09-14,0.943
2024-09-15,0.817
2024-09-16,1.39
2024-09-17,1.413
2024-09-18,0.653
2024-09-19,0.95
2024-09-20,1.347
2024-09-21,1.363
2024-09-22,1.073
2024-09-23,1.283
2024-09-24,0.897
2024-09-25,1.023
2024-09-26,0.485
2024-09-27,0.57
2024-09-28,1.087
2024-09-29,0.783
2024-09-30,0.74
2024-10-01,0.773
2024-10-02,0.617
2024-10-03,1.583
2024-10-04,1.743
2024-10-05,1.033
2024-10-06,0.907
2024-10-07,0.76
2024-10-08,0.865
2024-10-09,0.63
2024-10-10,0.887
2024-10-11,1.957
2024-10-12,1.093
2024-10-13,0.783
2024-10-14,1.087
2024-10-15,1.103
2024-10-16,1.387
2024-10-17,1.283
2024-10-18,0.893
2024-10-19,1.217
2024-10-20,0.407
2024-10-21,0.99
2024-10-22,1.493
2024-10-23,1.1
2024-10-24,0.917
2024-10-25,1.88
2024-10-26,1.93
2024-10-27,0.805
2024-10-28,0.36
2024-10-29,0.8
2024-10-30,0.595
2024-10-31,1.947
2024-11-01,1.373
2024-11-02,1.697
2024-11-03,0.96
2024-11-04,1.403
2024-11-05,1.72
2024-11-06,1.853
2024-11-07,1.037
2024-11-08,1.873
2024-11-09,2.057
2024-11-10,1.657
2024-11-11,1.807
2024-11-12,1.467
2024-11-13,1.993
2024-11-14,2.793
2024-11-15,2.263
2024-11-16,0.94
2024-11-17,0.833
2024-11-18,1.143
2024-11-19,1.29
2024-11-20,1.19
2024-11-21,2.71
2024-11-22,1.227
2024-11-23,0.577
2024-11-24,0.403
2024-11-25,0.483
2024-11-26,2.333
2024-11-27,2.26
2024-11-28,2.4
2024-11-29,0.725
2024-11-30,1.08
2024-12-01,0.693
2024-12-02,0.683
2024-12-03,1.32
2024-12-04,0.775
2024-12-05,0.497
2024-12-06,0.637
2024-12-07,0.2
2024-12-08,0.243
2024-12-09,0.443
2024-12-10,0.4
2024-12-11,0.447
2024-12-12,0.957
2024-12-13,1.16
2024-12-14,0.87
2024-12-15,0.343
2024-12-16,0.683
2024-12-17,0.787
2024-12-18,0.6
2024-12-19,0.67
2024-12-20,0.983
2024-12-21,0.383
2024-12-22,0.243
2024-12-23,0.997
2024-12-24,1.61
2024-12-25,1.01
2024-12-26,0.89
2024-12-27,1.27
2024-12-28,1.04
2024-12-29,0.51
2024-12-30,0.447
2024-12-31,0.307
2025-01-01,0.44
2025-01-02,0.7
2025-01-03,1.1
2025-01-04,1.763
2025-01-05,0.97
2025-01-06,0.69
2025-01-07,0.87
2025-01-08,3.79
2025-01-09,2.235
2025-01-10,6.09
2025-01-11,5.68
2025-01-12,2.904
2025-01-13,3.226
2025-01-14,0.715
2025-01-15,1.65
2025-01-16,2.07
2025-01-17,1.35
2025-01-18,1.117
2025-01-19,1.503
2025-01-20,2.27
2025-01-21,1.72
2025-01-22,3.13
2025-01-23,1.1
2025-01-24,1.015
2025-01-25,1.027
2025-01-26,0.543
2025-01-27,0.49
2025-01-28,1.07
2025-01-29,1.22
2025-01-30,1.407
2025-01-31,0.66
2025-02-01,0.237
2025-02-02,0.183
2025-02-03,0.777
2025-02-04,0.45
2025-02-05,2.57
2025-02-06,2.23
2025-02-07,0.485
2025-02-08,1.263
2025-02-09,1.705
2025-02-10,1.06
2025-02-11,1.45
2025-02-12,2.013
2025-02-13,1.255
2025-02-14,1.195
2025-02-15,1.8
2025-02-16,1.35
2025-02-17,0.91
2025-02-18,1.19
2025-02-19,2.215
2025-02-20,0.7
2025-02-21,0.59
2025-02-22,0.98
2025-02-23,0.46
2025-02-24,0.745
2025-02-25,0.693
2025-02-26,0.643
2025-02-27,0.91
2025-02-28,2.36
2025-03-01,3.607
2025-03-02,3.465
2025-03-03,1.87
2025-03-04,1.81
2025-03-05,1.66
2025-03-06,2.165
2025-03-07,1.177
2025-03-08,1.91
2025-03-09,2.115
2025-03-10,2.31
2025-03-11,0.593
2025-03-12,0.867
2025-03-13,0.615
2025-03-14,0.765
2025-03-15,0.54
2025-03-16,0.603
2025-03-17,0.523
2025-03-18,0.687
2025-03-19,3.107
2025-03-20,4.345
2025-03-21,1.495
2025-03-22,0.84
2025-03-23,1.16
2025-03-24,1.83
2025-03-25,0.847
2025-03-26,1.133
2025-03-27,0.633
2025-03-28,0.477
2025-03-29,0.47
2025-03-30,0.477
2025-03-31,1.335
2025-04-01,0.48
2025-04-02,0.635
2025-04-03,1.185
2025-04-04,0.81
2025-04-05,0.417
2025-04-06,0.447
2025-04-07,0.69
2025-04-08,1.07
2025-04-09,0.99
2025-04-10,2.07
2025-04-11,0.928
2025-04-12,1.74
2025-04-13,0.697
2025-04-14,0.82
2025-04-15,0.885
2025-04-16,0.5
2025-04-17,1.03
2025-04-18,0.81
2025-04-19,1.3
2025-04-20,0.69
2025-04-21,1.36
2025-04-22,1.48
2025-04-23,0.46
2025-04-24,1.019
2025-04-25,0.847
2025-04-26,1.235
2025-04-27,0.825
2025-04-28,2.71
2025-04-29,2.0
2025-04-30,2.025
2025-05-01,2.57
2025-05-02,1.05
2025-05-03,0.507
2025-05-04,0.247
2025-05-05,0.343
2025-05-06,0.623
2025-05-07,0.867
2025-05-08,0.34
2025-05-09,0.79
2025-05-10,1.06
2025-05-11,0.83
2025-05-12,1.237
2025-05-13,0.617
2025-05-14,0.62
2025-05-15,0.467
2025-05-16,0.803
2025-05-18,0.754
2025-05-19,0.645
2025-05-20,0.65
2025-05-21,0.575
2025-05-22,0.53
2025-05-23,0.643
2025-05-24,0.61
2025-05-25,0.243
2025-05-26,0.307
2025-05-27,0.17
2025-05-28,0.27
2025-05-29,0.387
2025-05-30,0.59
2025-05-31,0.597
2025-06-01,0.343
2025-06-02,0.523
2025-06-03,0.377
2025-06-04,0.433
2025-06-05,0.63
2025-06-06,0.17
2025-06-07,0.245
2025-06-08,0.31
