date,red_particulate_matter_660nm
2024-06-09,0.41
2024-06-10,0.327
2024-06-11,0.48
2024-06-12,0.67
2024-06-13,0.67
2024-06-14,0.783
2024-06-15,0.573
2024-06-16,0.42
2024-06-17,0.643
2024-06-18,0.57
2024-06-19,0.61
2024-06-20,1.037
2024-06-21,0.683
2024-06-22,0.467
2024-06-23,0.513
2024-06-24,0.82
2024-06-25,0.903
2024-06-26,1.0
2024-06-27,0.407
2024-06-28,0.463
2024-06-29,0.68
2024-06-30,0.433
2024-07-01,0.593
2024-07-02,0.615
2024-07-03,0.77
2024-07-04,0.373
2024-07-05,0.753
2024-07-06,0.59
2024-07-07,0.497
2024-07-08,0.647
2024-07-09,0.687
2024-07-10,0.447
2024-07-11,0.76
2024-07-12,0.46
2024-07-13,0.48
2024-07-14,0.42
2024-07-15,0.94
2024-07-16,0.92
2024-07-17,1.245
2024-07-18,0.52
2024-07-19,0.535
2024-07-20,0.79
2024-07-21,0.463
2024-07-22,0.493
2024-07-23,0.635
2024-07-24,0.915
2024-07-25,0.57
2024-07-26,0.55
2024-07-27,1.007
2024-07-28,1.183
2024-07-29,1.197
2024-07-30,0.9
2024-07-31,0.917
2024-08-01,1.01
2024-08-02,0.887
2024-08-03,0.467
2024-08-04,0.21
2024-08-05,0.26
2024-08-06,0.59
2024-08-07,0.52
2024-08-08,0.653
2024-08-09,0.417
2024-08-10,0.71
2024-08-11,1.197
2024-08-12,0.89
2024-08-13,0.707
2024-08-14,0.88
2024-08-15,0.8
2024-08-16,0.807
2024-08-17,0.707
2024-08-18,0.64
2024-08-19,1.12
2024-08-20,0.43
2024-08-21,0.433
2024-08-22,0.44
2024-08-23,0.42
2024-08-24,0.59
2024-08-25,0.467
2024-08-26,0.78
2024-08-27,0.957
2024-08-28,1.077
2024-08-29,0.82
2024-08-30,1.05
2024-08-31,0.577
2024-09-01,0.59
2024-09-02,1.317
2024-09-03,0.445
2024-09-04,0.46
2024-09-05,0.703
2024-09-06,1.317
2024-09-07,1.413
2024-09-08,0.807
2024-09-09,0.48
2024-09-10,0.633
2024-09-11,0.577
2024-09-12,0.77
2024-09-13,1.357
2024-09-14,0.897
2024-09-15,0.77
2024-09-16,1.293
2024-09-17,1.34
2024-09-18,0.607
2024-09-19,0.887
2024-09-20,1.273
2024-09-21,1.28
2024-09-22,1.003
2024-09-23,1.207
2024-09-24,0.823
2024-09-25,0.963
2024-09-26,0.44
2024-09-27,0.537
2024-09-28,1.013
2024-09-29,0.707
2024-09-30,0.69
2024-10-01,0.72
2024-10-02,0.57
2024-10-03,1.487
2024-10-04,1.62
2024-10-05,0.95
2024-10-06,0.823
2024-10-07,0.713
2024-10-08,0.81
2024-10-09,0.59
2024-10-10,0.823
2024-10-11,1.813
2024-10-12,1.013
2024-10-13,0.723
2024-10-14,0.983
2024-10-15,1.033
2024-10-16,1.287
2024-10-17,1.21
2024-10-18,0.84
2024-10-19,1.137
2024-10-20,0.39
2024-10-21,0.943
2024-10-22,1.397
2024-10-23,1.023
2024-10-24,0.853
2024-10-25,1.74
2024-10-26,1.817
2024-10-27,0.76
2024-10-28,0.32
2024-10-29,0.74
2024-10-30,0.555
2024-10-31,1.823
2024-11-01,1.277
2024-11-02,1.517
2024-11-03,0.877
2024-11-04,1.297
2024-11-05,1.607
2024-11-06,1.733
2024-11-07,0.977
2024-11-08,1.923
2024-11-09,1.94
2024-11-10,1.507
2024-11-11,1.657
2024-11-12,1.323
2024-11-13,1.81
2024-11-14,2.56
2024-11-15,2.093
2024-11-16,0.857
2024-11-17,0.757
2024-11-18,1.057
2024-11-19,1.17
2024-11-20,1.097
2024-11-21,2.52
2024-11-22,1.11
2024-11-23,0.537
2024-11-24,0.377
2024-11-25,0.467
2024-11-26,2.13
2024-11-27,2.057
