"Daily Mean data	    supplied by UK-air on 14/06/2025",,,,,,
All Data GMT hour ending,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,
,Birmingham A4540 Roadside,,Birmingham Ladywood,,Shrewsbury Underdale,
Latitude,52.476145,,52.481346,,52.715083,
Longitude,-1.874978,,-1.918235,,-2.726833,
Site Type,Urban Traffic,,Urban Background,,Urban Background,
Zone,West Midlands,,West Midlands,,West Midlands,
Agglomeration,West Midlands Urban Area,,West Midlands Urban Area,,#N/A,
Local Authority,Birmingham,,Birmingham,,Shropshire,
Date,Green Particulate matter (520nm),Status,Green Particulate matter (520nm),Status,Green Particulate matter (520nm),Status
09-06-2024,0.87,V ugm-3,0.3,V ugm-3,0.17,V ugm-3
10-06-2024,0.64,V ugm-3,0.25,V ugm-3,0.17,V ugm-3
11-06-2024,1,V ugm-3,0.34,V ugm-3,0.18,V ugm-3
12-06-2024,1.45,V ugm-3,0.45,V ugm-3,0.25,V ugm-3
13-06-2024,1.47,V ugm-3,0.3,V ugm-3,0.34,V ugm-3
14-06-2024,2.02,V ugm-3,0.24,V ugm-3,0.23,V ugm-3
15-06-2024,1.29,V ugm-3,0.25,V ugm-3,0.24,V ugm-3
16-06-2024,1,V ugm-3,0.19,V ugm-3,0.17,V ugm-3
17-06-2024,1.43,V ugm-3,0.35,V ugm-3,0.26,V ugm-3
18-06-2024,1.09,V ugm-3,0.41,V ugm-3,0.3,V ugm-3
19-06-2024,1.18,V ugm-3,0.46,V ugm-3,0.34,V ugm-3
20-06-2024,2.18,V ugm-3,0.59,V ugm-3,0.51,V ugm-3
21-06-2024,1.5,V ugm-3,0.4,V ugm-3,0.26,V ugm-3
22-06-2024,1.07,V ugm-3,0.26,V ugm-3,0.15,V ugm-3
23-06-2024,1.15,V ugm-3,0.28,V ugm-3,0.19,V ugm-3
24-06-2024,1.58,V ugm-3,0.67,V ugm-3,0.37,V ugm-3
25-06-2024,1.48,V ugm-3,0.89,V ugm-3,0.46,V ugm-3
26-06-2024,1.76,V ugm-3,0.72,V ugm-3,0.68,V ugm-3
27-06-2024,0.92,V ugm-3,0.23,V ugm-3,0.15,V ugm-3
28-06-2024,1.05,V ugm-3,0.28,V ugm-3,0.16,V ugm-3
29-06-2024,1.38,V ugm-3,0.43,V ugm-3,0.33,V ugm-3
30-06-2024,0.9,V ugm-3,0.25,V ugm-3,0.21,V ugm-3
01-07-2024,1.29,V ugm-3,0.36,V ugm-3,0.25,V ugm-3
02-07-2024,1.06,V ugm-3,No data,V ugm-3,0.22,V ugm-3
03-07-2024,1.43,V ugm-3,No data,V ugm-3,0.19,V ugm-3
04-07-2024,0.76,V ugm-3,0.18,V ugm-3,0.21,V ugm-3
05-07-2024,1.77,V ugm-3,0.42,V ugm-3,0.21,V ugm-3
06-07-2024,1.12,V ugm-3,0.4,V ugm-3,0.39,V ugm-3
07-07-2024,1.14,V ugm-3,0.25,V ugm-3,0.19,V ugm-3
08-07-2024,1.45,V ugm-3,0.36,V ugm-3,0.2,V ugm-3
09-07-2024,1.56,V ugm-3,0.39,V ugm-3,0.22,V ugm-3
10-07-2024,1.08,V ugm-3,0.22,V ugm-3,0.14,V ugm-3
11-07-2024,1.59,V ugm-3,0.59,V ugm-3,0.24,V ugm-3
12-07-2024,No data,V ugm-3,0.54,V ugm-3,0.45,V ugm-3
13-07-2024,No data,V ugm-3,0.58,V ugm-3,0.44,V ugm-3
14-07-2024,No data,V ugm-3,0.52,V ugm-3,0.38,V ugm-3
15-07-2024,No data,V ugm-3,1.28,V ugm-3,0.75,V ugm-3
16-07-2024,1.53,V ugm-3,No data,V ugm-3,0.4,V ugm-3
17-07-2024,2.25,V ugm-3,No data,V ugm-3,0.35,V ugm-3
18-07-2024,No data,V ugm-3,0.64,V ugm-3,0.49,V ugm-3
19-07-2024,No data,V ugm-3,0.66,V ugm-3,0.49,V ugm-3
20-07-2024,1.94,V ugm-3,0.37,V ugm-3,0.19,V ugm-3
21-07-2024,1.08,V ugm-3,0.27,V ugm-3,0.11,V ugm-3
22-07-2024,1.15,V ugm-3,0.26,V ugm-3,0.17,V ugm-3
23-07-2024,1.09,V ugm-3,No data,V ugm-3,0.28,V ugm-3
24-07-2024,1.63,V ugm-3,No data,V ugm-3,0.3,V ugm-3
25-07-2024,1.32,V ugm-3,0.29,V ugm-3,0.21,V ugm-3
26-07-2024,1.21,V ugm-3,0.37,V ugm-3,0.16,V ugm-3
27-07-2024,1.94,V ugm-3,1.05,V ugm-3,0.24,V ugm-3
28-07-2024,2.45,V ugm-3,0.97,V ugm-3,0.36,V ugm-3
29-07-2024,2.26,V ugm-3,1.06,V ugm-3,0.5,V ugm-3
30-07-2024,1.27,V ugm-3,1.14,V ugm-3,0.45,V ugm-3
31-07-2024,1.17,V ugm-3,0.98,V ugm-3,0.76,V ugm-3
01-08-2024,1.55,V ugm-3,1.04,V ugm-3,0.63,V ugm-3
02-08-2024,1.65,V ugm-3,0.77,V ugm-3,0.39,V ugm-3
03-08-2024,1,V ugm-3,0.36,V ugm-3,0.14,V ugm-3
04-08-2024,No data,V ugm-3,0.29,V ugm-3,0.16,V ugm-3
05-08-2024,No data,V ugm-3,0.33,V ugm-3,0.2,V ugm-3
06-08-2024,1.33,V ugm-3,0.32,V ugm-3,0.2,V ugm-3
07-08-2024,1.22,V ugm-3,0.25,V ugm-3,0.18,V ugm-3
08-08-2024,1.62,V ugm-3,0.27,V ugm-3,0.16,V ugm-3
09-08-2024,0.93,V ugm-3,0.23,V ugm-3,0.14,V ugm-3
10-08-2024,1.3,V ugm-3,0.6,V ugm-3,0.35,V ugm-3
11-08-2024,2.13,V ugm-3,1.1,V ugm-3,0.62,V ugm-3
12-08-2024,1.63,V ugm-3,0.63,V ugm-3,0.57,V ugm-3
13-08-2024,1.58,V ugm-3,0.35,V ugm-3,0.31,V ugm-3
14-08-2024,1.61,V ugm-3,No data,V ugm-3,0.25,V ugm-3
15-08-2024,1.39,V ugm-3,No data,V ugm-3,0.29,V ugm-3
16-08-2024,1.65,V ugm-3,0.54,V ugm-3,0.41,V ugm-3
17-08-2024,1.25,V ugm-3,0.39,V ugm-3,0.61,V ugm-3
18-08-2024,1.2,V ugm-3,0.48,V ugm-3,0.34,V ugm-3
19-08-2024,2.15,V ugm-3,0.78,V ugm-3,0.58,V ugm-3
20-08-2024,0.95,V ugm-3,0.23,V ugm-3,0.19,V ugm-3
21-08-2024,0.93,V ugm-3,0.23,V ugm-3,0.22,V ugm-3
22-08-2024,0.95,V ugm-3,0.23,V ugm-3,0.18,V ugm-3
23-08-2024,0.91,V ugm-3,0.26,V ugm-3,0.13,V ugm-3
24-08-2024,1.34,V ugm-3,0.31,V ugm-3,0.23,V ugm-3
25-08-2024,1.03,V ugm-3,0.18,V ugm-3,0.25,V ugm-3
26-08-2024,1.47,V ugm-3,0.51,V ugm-3,0.48,V ugm-3
27-08-2024,2.14,V ugm-3,0.53,V ugm-3,0.38,V ugm-3
28-08-2024,1.95,V ugm-3,0.93,V ugm-3,0.52,V ugm-3
29-08-2024,1.52,V ugm-3,No data,V ugm-3,0.25,V ugm-3
30-08-2024,1.7,V ugm-3,No data,V ugm-3,0.52,V ugm-3
31-08-2024,0.91,V ugm-3,0.48,V ugm-3,0.38,V ugm-3
01-09-2024,0.74,V ugm-3,0.58,V ugm-3,0.52,V ugm-3
02-09-2024,2.18,V ugm-3,1.24,V ugm-3,0.72,V ugm-3
03-09-2024,No data,V ugm-3,0.56,V ugm-3,0.38,V ugm-3
