date,acute_bronchiolitis_syndromic,acute_respiratory_illness,influenza_like_syndromic,scarlet_fever_syndromic,black_carbon,blue_particulate_matter,green_particulate_matter,infra_red_particulate_matter,nitric_dioxide,nitric_oxide,nitrogen_oxides_as_nitrogen_dioxide,Ozone,PM10,PM2.5,red_particulate_matter,UV_particulate_matter_370nm,yellow_particulate_matter_590nm
09-06-2024,2.0,176.0,2.0,3.0,0.403,0.47,0.447,0.423,8.0,3.786,13.571,59.444,8.2,4.125,0.41,0.467,0.43
10-06-2024,7.0,166.0,2.0,0.0,0.337,0.373,0.353,0.347,8.5,4.214,14.929,60.9,6.1,3.0,0.327,0.363,0.347
11-06-2024,6.0,155.0,0.0,0.0,0.48,0.53,0.507,0.487,12.143,5.214,19.929,60.5,8.7,4.25,0.48,0.517,0.503
12-06-2024,2.0,157.0,0.0,0.0,0.663,0.753,0.717,0.68,14.5,6.0,23.786,64.5,10.3,4.875,0.67,0.747,0.703
13-06-2024,3.0,137.0,0.0,0.0,0.667,0.733,0.703,0.67,13.929,7.643,25.5,59.3,10.4,4.625,0.67,0.71,0.693
14-06-2024,3.0,160.0,1.0,1.0,0.763,0.87,0.83,0.757,11.571,7.143,22.643,54.8,7.111,2.714,0.783,0.84,0.813
15-06-2024,6.0,179.0,0.0,2.0,0.563,0.627,0.593,0.57,10.429,6.0,19.643,57.7,6.667,3.143,0.573,0.61,0.587
16-06-2024,2.0,166.0,4.0,0.0,0.42,0.477,0.453,0.417,8.571,3.857,14.429,66.0,5.667,2.857,0.42,0.46,0.447
17-06-2024,6.0,193.0,1.0,0.0,0.633,0.707,0.68,0.667,12.214,5.214,20.071,62.4,8.444,4.143,0.643,0.677,0.667
18-06-2024,6.0,174.0,1.0,1.0,0.563,0.643,0.6,0.583,13.429,5.0,20.857,57.9,10.0,5.25,0.57,0.62,0.587
19-06-2024,10.0,173.0,0.0,2.0,0.6,0.703,0.66,0.617,13.857,5.5,22.429,60.2,8.7,4.25,0.61,0.707,0.643
20-06-2024,7.0,185.0,2.0,0.0,1.03,1.15,1.093,1.07,20.929,8.214,33.357,58.8,11.6,4.625,1.037,1.12,1.073
