date,acute_respiratory_infection_counts
2024-06-09,176.0
2024-06-10,166.0
2024-06-11,155.0
2024-06-12,157.0
2024-06-13,137.0
2024-06-14,160.0
2024-06-15,179.0
2024-06-16,166.0
2024-06-17,193.0
2024-06-18,174.0
2024-06-19,173.0
2024-06-20,185.0
2024-06-21,192.0
2024-06-22,159.0
2024-06-23,168.0
2024-06-24,188.0
2024-06-25,168.0
2024-06-26,170.0
2024-06-27,191.0
2024-06-28,194.0
2024-06-29,212.0
2024-06-30,182.0
2024-07-01,172.0
2024-07-02,144.0
2024-07-03,166.0
2024-07-04,150.0
2024-07-05,186.0
2024-07-06,144.0
2024-07-07,157.0
2024-07-08,163.0
2024-07-09,172.0
2024-07-10,157.0
2024-07-11,164.0
2024-07-12,168.0
2024-07-13,164.0
2024-07-14,164.0
2024-07-15,206.0
2024-07-16,178.0
2024-07-17,177.0
2024-07-18,185.0
2024-07-19,188.0
2024-07-20,193.0
2024-07-21,187.0
2024-07-22,167.0
2024-07-23,157.0
2024-07-24,170.0
2024-07-25,160.0
2024-07-26,180.0
2024-07-27,148.0
2024-07-28,150.0
2024-07-29,157.0
2024-07-30,152.0
2024-07-31,157.0
2024-08-01,180.0
2024-08-02,133.0
2024-08-03,147.0
2024-08-04,137.0
2024-08-05,132.0
2024-08-06,140.0
2024-08-07,126.0
2024-08-08,124.0
2024-08-09,121.0
2024-08-10,119.0
2024-08-11,112.0
2024-08-12,150.0
2024-08-13,110.0
2024-08-14,121.0
2024-08-15,128.0
2024-08-16,125.0
2024-08-17,129.0
2024-08-18,110.0
2024-08-19,132.0
2024-08-20,107.0
2024-08-21,107.0
2024-08-22,117.0
2024-08-23,122.0
2024-08-24,124.0
2024-08-25,123.0
2024-08-26,139.0
2024-08-27,127.0
2024-08-28,105.0
2024-08-29,113.0
2024-08-30,125.0
2024-08-31,121.0
2024-09-01,135.0
2024-09-02,134.0
2024-09-03,124.0
2024-09-04,113.0
2024-09-05,119.0
2024-09-06,119.0
2024-09-07,115.0
2024-09-08,152.0
